转发数	评论数	点赞数	字数	类别
3 	40 	55 	74 	正经
6 	29 	26 	104 	正经
4 	9 	16 	73 	活泼
7 	51 	68 	21 	活泼
4 	13 	74 	0 	正经
2 	102 	103 	59 	正经
0 	10 	19 	97 	正经
8 	6 	17 	137 	活泼
5 	20 	83 	0 	正经
0 	30 	22 	84 	正经
10 	121 	111 	38 	正经
2 	33 	33 	138 	正经
5 	17 	27 	73 	正经
7	87	62	23 	正经
20	86	100	103 	活泼
1	11	24	0 	活泼
1	5	6	123 	正经
13	152	123	28 	活泼
9	21	33	0 	活泼
23	71	106	7 	正经
6	19	22	138 	正经
19	102	68	0 	正经
17	48	64	31 	活泼
7	107	63	34 	活泼
5	61	62	0 	活泼
6	64	45	0 	活泼
0	25	34	0 	正经
11	108	71	77 	活泼
4	26	31	116 	正经
6	16	30	61 	正经
12	36	90	0 	活泼
5	16	66	0 	活泼
3	12	87	0 	正经
1	9	20	94 	正经
4	29	27	137 	正经
1	7	20	0 	活泼
2	18	15	122 	正经
4	7	76	0 	活泼
4	12	7	0 	活泼
63	17	132	0 	活泼
0	18	29	234 	活泼
1	41	25	40 	正经
2	25	16	0 	活泼
5	29	25	139 	正经
6	26	27	138 	正经
6	8	28	63 	正经
33	65	120	0 	活泼
3	4	38	0 	活泼
0	32	28	0 	活泼
8	49	68	61 	活泼
2	7	19	81 	活泼
148	11	155	0 	活泼
3	14	14	95 	正经
5	20	31	137 	正经
3	16	23	29 	正经
14	34	44	0 	活泼
7	6	32	0 	活泼
