3U8670,四川航空股份有限公司,2020/02/05 13:10:00,2020/02/05 13:11:00,石家庄正定,2020/02/05 18:40:00,2020/02/05 18:13:00,昆明长水,到达
3U8670,四川航空股份有限公司,2020/02/05 17:10:00,2020/02/05 17:08:00,成都双流,2020/02/05 18:40:00,2020/02/05 18:13:00,昆明长水,到达
3U8689,--,2020/02/05 06:55:00,--,西安咸阳,2020/02/05 08:45:00,--,济南遥墙,取消
3U8689,--,2020/02/05 06:55:00,--,西安咸阳,2020/02/05 11:45:00,--,哈尔滨太平,取消
3U8689,--,2020/02/05 09:35:00,--,济南遥墙,2020/02/05 11:45:00,--,哈尔滨太平,取消
3U8690,--,2020/02/05 14:40:00,--,哈尔滨太平,2020/02/05 17:25:00,--,济南遥墙,取消
3U8690,--,2020/02/05 14:40:00,--,哈尔滨太平,2020/02/05 21:40:00,--,西安咸阳,取消
3U8690,--,2020/02/05 19:45:00,--,济南遥墙,2020/02/05 21:40:00,--,西安咸阳,取消
3U8691,--,2020/02/05 21:30:00,--,成都双流,2020/02/05 23:10:00,--,丽江三义,取消
3U8692,--,2020/02/05 23:55:00,--,丽江三义,2020/02/06 01:30:00,--,成都双流,取消
3U8693,--,2020/02/05 07:45:00,--,成都双流,2020/02/05 10:00:00,--,林芝米林,取消
3U8694,--,2020/02/05 10:05:00,--,林芝米林,2020/02/05 11:50:00,--,成都双流,取消
3U8702,四川航空股份有限公司,2020/02/05 10:20:00,2020/02/05 10:12:00,深圳宝安,2020/02/05 12:55:00,2020/02/05 12:27:00,成都双流,到达
3U8703,四川航空股份有限公司,2020/02/05 11:30:00,2020/02/05 11:38:00,成都双流,2020/02/05 14:00:00,2020/02/05 13:31:00,深圳宝安,到达
3U8704,四川航空股份有限公司,2020/02/05 15:15:00,2020/02/05 15:05:00,深圳宝安,2020/02/05 18:05:00,2020/02/05 17:20:00,成都双流,到达
3U8725,--,2020/02/05 07:10:00,--,哈尔滨太平,2020/02/05 14:05:00,--,南宁吴圩,取消
3U8729,--,2020/02/05 08:10:00,--,成都双流,2020/02/05 10:35:00,--,广州白云,取消
3U8730,--,2020/02/05 12:00:00,--,广州白云,2020/02/05 14:30:00,--,成都双流,取消
3U8731,四川航空股份有限公司,2020/02/05 09:20:00,2020/02/05 09:21:00,成都双流,2020/02/05 11:45:00,2020/02/05 11:13:00,广州白云,到达
3U8732,四川航空股份有限公司,2020/02/05 12:55:00,2020/02/05 13:01:00,广州白云,2020/02/05 15:25:00,2020/02/05 15:03:00,成都双流,到达
3U8733,四川航空股份有限公司,2020/02/05 12:45:00,2020/02/05 12:50:00,成都双流,2020/02/05 15:25:00,2020/02/05 14:36:00,广州白云,到达
3U8734,四川航空股份有限公司,2020/02/05 16:55:00,2020/02/05 16:59:00,广州白云,2020/02/05 19:30:00,2020/02/05 18:56:00,成都双流,到达
3U8735,四川航空股份有限公司,2020/02/05 18:30:00,2020/02/05 18:26:00,成都双流,2020/02/05 20:50:00,2020/02/05 20:16:00,广州白云,到达
3U8736,四川航空股份有限公司,2020/02/05 22:45:00,2020/02/05 22:57:00,广州白云,2020/02/06 01:30:00,2020/02/06 01:00:00,成都双流,到达
3U8741,--,2020/02/05 06:50:00,--,重庆江北,2020/02/05 09:05:00,--,广州白云,取消
3U8742,--,2020/02/05 21:55:00,--,广州白云,2020/02/06 00:20:00,--,重庆江北,取消
3U8745,四川航空股份有限公司,2020/02/05 13:45:00,2020/02/05 13:51:00,重庆江北,2020/02/05 15:40:00,2020/02/05 15:28:00,广州白云,到达
3U8755,--,2020/02/05 18:55:00,--,成都双流,2020/02/05 21:40:00,--,三亚凤凰,取消
3U8756,--,2020/02/05 22:55:00,--,三亚凤凰,2020/02/06 01:30:00,--,成都双流,取消
3U8773,--,2020/02/05 22:30:00,--,成都双流,2020/02/06 00:25:00,--,南宁吴圩,取消
3U8774,--,2020/02/05 21:15:00,--,南宁吴圩,2020/02/05 23:25:00,--,成都双流,取消
3U8781,--,2020/02/05 07:10:00,--,重庆江北,2020/02/05 09:15:00,--,深圳宝安,取消
3U8782,--,2020/02/05 10:45:00,--,深圳宝安,2020/02/05 13:05:00,--,重庆江北,取消
3U8793,--,2020/02/05 10:10:00,--,广州白云,2020/02/05 12:20:00,--,重庆江北,取消
3U8793,--,2020/02/05 10:10:00,--,广州白云,2020/02/05 15:20:00,--,银川河东,取消
3U8793,--,2020/02/05 13:25:00,--,重庆江北,2020/02/05 15:20:00,--,银川河东,取消
3U8799,四川航空股份有限公司,2020/02/05 07:40:00,2020/02/05 07:46:00,三亚凤凰,2020/02/05 11:10:00,2020/02/05 11:02:00,济南遥墙,到达
3U8799,四川航空股份有限公司,2020/02/05 07:40:00,2020/02/05 07:46:00,三亚凤凰,2020/02/05 14:15:00,2020/02/05 13:48:00,长春龙嘉,到达
3U8799,四川航空股份有限公司,2020/02/05 12:10:00,2020/02/05 12:03:00,济南遥墙,2020/02/05 14:15:00,2020/02/05 13:48:00,长春龙嘉,到达
3U8804,--,2020/02/05 18:00:00,--,百色巴马,2020/02/05 19:30:00,--,重庆江北,取消
3U8804,--,2020/02/05 18:00:00,--,百色巴马,2020/02/05 23:10:00,--,北京首都,取消
3U8804,--,2020/02/05 20:35:00,--,重庆江北,2020/02/05 23:10:00,--,北京首都,取消
3U8806,--,2020/02/05 12:55:00,--,乌鲁木齐地窝堡,2020/02/05 17:00:00,--,成都双流,取消
3U8807,--,2020/02/05 07:55:00,--,昆明长水,2020/02/05 10:45:00,--,徐州观音,取消
3U8807,--,2020/02/05 11:45:00,--,徐州观音,2020/02/05 13:35:00,--,沈阳桃仙,取消
3U8808,--,2020/02/05 14:25:00,--,沈阳桃仙,2020/02/05 21:20:00,--,昆明长水,取消
3U8811,四川航空股份有限公司,2020/02/05 08:20:00,2020/02/05 08:20:00,成都双流,2020/02/05 10:40:00,2020/02/05 10:10:00,济南遥墙,到达
3U8811,四川航空股份有限公司,2020/02/05 08:20:00,2020/02/05 08:20:00,成都双流,2020/02/05 12:40:00,2020/02/05 12:23:00,大连周水子,到达
3U8811,四川航空股份有限公司,2020/02/05 11:30:00,2020/02/05 11:24:00,济南遥墙,2020/02/05 12:40:00,2020/02/05 12:23:00,大连周水子,到达
3U8812,四川航空股份有限公司,2020/02/05 13:35:00,2020/02/05 13:39:00,大连周水子,2020/02/05 14:50:00,2020/02/05 14:32:00,济南遥墙,到达
3U8812,四川航空股份有限公司,2020/02/05 13:35:00,2020/02/05 13:39:00,大连周水子,2020/02/05 18:25:00,2020/02/05 17:52:00,成都双流,到达
3U8812,四川航空股份有限公司,2020/02/05 15:45:00,2020/02/05 15:34:00,济南遥墙,2020/02/05 18:25:00,2020/02/05 17:52:00,成都双流,到达
3U8813,--,2020/02/05 14:25:00,--,成都双流,2020/02/05 16:35:00,--,徐州观音,取消
3U8813,--,2020/02/05 14:25:00,--,成都双流,2020/02/05 18:45:00,--,大连周水子,取消
3U8813,--,2020/02/05 17:20:00,--,徐州观音,2020/02/05 18:45:00,--,大连周水子,取消
3U8818,--,2020/02/05 11:45:00,--,拉萨贡嘎,2020/02/05 13:45:00,--,丽江三义,取消
3U8818,--,2020/02/05 14:50:00,--,丽江三义,2020/02/05 15:55:00,--,昆明长水,取消
3U8822,四川航空股份有限公司,2020/02/05 14:00:00,2020/02/05 14:10:00,西宁曹家堡,2020/02/05 16:05:00,2020/02/05 15:50:00,重庆江北,到达
3U8822,四川航空股份有限公司,2020/02/05 14:00:00,2020/02/05 14:10:00,西宁曹家堡,2020/02/05 19:25:00,2020/02/05 18:43:00,杭州萧山,到达
3U8822,四川航空股份有限公司,2020/02/05 17:15:00,2020/02/05 17:02:00,重庆江北,2020/02/05 19:25:00,2020/02/05 18:43:00,杭州萧山,到达
3U8825,--,2020/02/05 06:20:00,--,三亚凤凰,2020/02/05 08:55:00,--,温州龙湾,取消
3U8825,--,2020/02/05 06:20:00,--,三亚凤凰,2020/02/05 13:20:00,--,哈尔滨太平,取消
3U8825,--,2020/02/05 10:00:00,--,温州龙湾,2020/02/05 13:20:00,--,哈尔滨太平,取消
3U8826,--,2020/02/05 14:25:00,--,哈尔滨太平,2020/02/05 17:55:00,--,温州龙湾,取消
3U8826,--,2020/02/05 14:25:00,--,哈尔滨太平,2020/02/05 21:30:00,--,三亚凤凰,取消
3U8826,--,2020/02/05 18:45:00,--,温州龙湾,2020/02/05 21:30:00,--,三亚凤凰,取消
3U8827,--,2020/02/05 22:30:00,--,北京首都,2020/02/06 01:35:00,--,重庆江北,取消
3U8829,--,2020/02/05 07:00:00,--,重庆江北,2020/02/05 09:35:00,--,北京首都,取消
3U8830,--,2020/02/05 22:10:00,--,北京首都,2020/02/06 01:20:00,--,重庆江北,取消
3U8831,四川航空股份有限公司,2020/02/05 13:05:00,2020/02/05 13:04:00,重庆江北,2020/02/05 15:35:00,2020/02/05 15:05:00,北京首都,到达
3U8832,四川航空股份有限公司,2020/02/05 16:50:00,2020/02/05 17:13:00,北京首都,2020/02/05 19:55:00,2020/02/05 19:48:00,重庆江北,到达
